UserID,MovieID,Rating
1,1,1.5
5,1,1.5
7,1,2.0
15,1,-0.5
17,1,2.0
18,1,1.0
19,1,1.5
21,1,1.0
27,1,0.5
31,1,2.5
32,1,0.5
33,1,0.5
40,1,2.5
43,1,2.5
44,1,0.5
45,1,1.5
46,1,2.5
50,1,0.5
54,1,0.5
57,1,2.5
63,1,2.5
64,1,1.5
66,1,1.5
68,1,-0.5
71,1,2.5
73,1,2.0
76,1,-2.5
78,1,1.5
82,1,-0.5
86,1,1.5
89,1,0.5
90,1,0.5
91,1,1.5
93,1,0.5
96,1,2.5
98,1,2.0
103,1,1.5
107,1,1.5
112,1,0.5
119,1,1.0
121,1,1.5
124,1,1.5
130,1,0.5
132,1,-1
134,1,0.5
135,1,1.5
137,1,1.5
140,1,0.5
141,1,1.5
144,1,1.0
145,1,2.5
151,1,2.5
153,1,-1
155,1,0.5
156,1,1.5
159,1,2.0
160,1,1.5
161,1,1.5
166,1,2.5
167,1,1.0
169,1,2.0
171,1,2.5
177,1,2.5
178,1,1.5
179,1,1.5
182,1,1.5
185,1,1.5
186,1,1.5
191,1,1.5
193,1,-1
200,1,1.0
201,1,2.5
202,1,1.5
206,1,2.5
213,1,1.0
214,1,0.5
216,1,0.5
217,1,1.5
219,1,1.0
220,1,2.5
223,1,1.0
226,1,1.0
229,1,2.5
232,1,1.0
233,1,0.5
234,1,2.5
239,1,1.5
240,1,2.5
247,1,2.5
249,1,1.5
252,1,2.0
254,1,2.0
263,1,1.5
264,1,1.5
266,1,-1
269,1,2.5
270,1,2.5
273,1,2.5
274,1,1.5
275,1,2.5
276,1,1.5
277,1,1.5
279,1,0.5
280,1,2.0
282,1,2.0
283,1,0.5
288,1,2.0
290,1,1.5
291,1,1.5
292,1,1.5
293,1,0.5
298,1,-1
304,1,2.5
307,1,1.5
314,1,0.5
322,1,1.0
323,1,1.0
328,1,2.5
330,1,1.5
332,1,1.5
334,1,1.0
336,1,1.5
337,1,1.5
339,1,1.5
341,1,2.5
347,1,2.5
350,1,1.5
353,1,2.5
357,1,2.5
359,1,1.5
364,1,2.5
367,1,2.5
372,1,0.5
373,1,0.5
378,1,2.0
380,1,2.5
381,1,1.0
382,1,2.0
385,1,1.5
389,1,2.5
391,1,0.5
396,1,2.5
399,1,1.5
401,1,1.0
411,1,2.5
412,1,-1
414,1,1.5
420,1,1.5
422,1,1.5
432,1,-0.5
434,1,1.5
436,1,1.5
438,1,2.0
443,1,1.5
448,1,2.5
451,1,2.5
453,1,2.5
456,1,2.5
460,1,2.0
462,1,-1.5
468,1,1.5
469,1,1.5
470,1,1.5
471,1,2.5
474,1,1.5
476,1,1.5
477,1,1.5
480,1,0.5
483,1,1.5
484,1,2.0
488,1,2.0
490,1,1.0
492,1,1.5
500,1,1.5
504,1,1.5
509,1,1.5
514,1,1.5
517,1,1.5
522,1,0.5
524,1,1.5
525,1,1.5
528,1,-0.5
529,1,0.5
533,1,2.5
534,1,1.5
541,1,0.5
544,1,0.5
550,1,1.5
555,1,1.5
559,1,2.5
560,1,0.5
561,1,1.5
562,1,2.0
567,1,1.0
570,1,1.5
572,1,1.5
573,1,2.5
579,1,1.5
580,1,0.5
584,1,2.5
587,1,2.5
590,1,1.5
596,1,1.5
597,1,1.5
599,1,0.5
600,1,-0.5
601,1,1.5
603,1,1.5
604,1,0.5
605,1,1.5
606,1,-0.5
607,1,1.5
608,1,-0.5
609,1,0.5
610,1,2.5
1,3,1.5
6,3,2.5
19,3,0.5
32,3,0.5
42,3,1.5
43,3,2.5
44,3,0.5
51,3,1.5
58,3,0.5
64,3,1.0
68,3,-1
91,3,0.5
100,3,1.0
102,3,2.5
116,3,1.0
117,3,0.5
150,3,0.5
151,3,0.5
169,3,2.5
179,3,1.5
217,3,-2
226,3,1.0
240,3,1.5
269,3,1.5
270,3,0.5
288,3,1.5
289,3,-0.5
294,3,-2
302,3,0.5
307,3,1.0
308,3,-2.5
321,3,0.5
330,3,0.5
337,3,1.5
368,3,0.5
410,3,1.5
414,3,1.5
448,3,0.5
456,3,0.5
470,3,0.5
477,3,0.5
480,3,-0.5
492,3,1.5
501,3,2.5
544,3,0.5
552,3,-2
555,3,2.5
588,3,0.5
590,3,0.5
594,3,1.5
599,3,-1.5
608,3,-1
1,6,1.5
6,6,1.5
11,6,2.5
18,6,1.5
23,6,1.5
24,6,2.0
28,6,1.0
32,6,0.5
44,6,0.5
45,6,1.5
57,6,0.5
62,6,2.0
64,6,2.0
68,6,1.5
79,6,1.5
82,6,1.0
84,6,1.5
91,6,2.5
102,6,0.5
105,6,1.5
109,6,0.5
112,6,2.0
117,6,0.5
121,6,2.5
140,6,2.5
150,6,1.5
160,6,-1
166,6,1.0
181,6,0.5
182,6,2.0
191,6,1.5
195,6,1.5
199,6,1.5
202,6,2.5
217,6,-1
219,6,1.0
220,6,1.0
239,6,2.5
244,6,2.5
266,6,1.5
269,6,2.5
270,6,0.5
274,6,1.5
282,6,1.5
286,6,2.0
294,6,0.5
297,6,2.5
305,6,1.0
308,6,-2
312,6,1.5
313,6,0.5
314,6,0.5
317,6,2.5
318,6,1.5
325,6,1.5
336,6,1.5
